Exchange,Symbol,ShortName,LongName,Sector,Industry,City,State,Country
NYQ,GPC,Genuine Parts Company,Genuine Parts Company,Consumer Cyclical,Auto Parts,Atlanta,GA,United States
NYQ,BALL,Ball Corporation,Ball Corporation,Consumer Cyclical,Packaging & Containers,Westminster,CO,United States
NMS,ALGN,Align Technology Inc.,Align Technology Inc.,Healthcare,Medical Devices,Tempe,AZ,United States
NYQ,CPAY,Corpay Inc.,Corpay Inc.,Technology,Software - Infrastructure,Atlanta,GA,United States
NYQ,INVH,Invitation Homes Inc.,Invitation Homes Inc.,Real Estate,REIT - Residential,Dallas,TX,United States
NMS,PTC,PTC Inc.,PTC Inc.,Technology,Software - Application,Boston,MA,United States
NYQ,CTRA,Coterra Energy Inc.,Coterra Energy Inc.,Energy,Oil & Gas E&P,Houston,TX,United States
NYQ,ES,Eversource Energy,Eversource Energy,Utilities,Utilities - Regulated Electric,Springfield,MA,United States
NYQ,WRB,W.R. Berkley Corporation,W. R. Berkley Corporation,Financial Services,Insurance - Property & Casualty,Greenwich,CT,United States
NYQ,ARE,Alexandria Real Estate Equities,Alexandria Real Estate Equities Inc.,Real Estate,REIT - Office,Pasadena,CA,United States
NMS,STLD,Steel Dynamics Inc.,Steel Dynamics Inc.,Basic Materials,Steel,Fort Wayne,IN,United States
NMS,SBAC,SBA Communications Corporation,SBA Communications Corporation,Real Estate,REIT - Specialty,Boca Raton,FL,United States
NYQ,HUBB,Hubbell Inc,Hubbell Incorporated,Industrials,Electrical Equipment & Parts,Shelton,CT,United States
NMS,FSLR,First Solar Inc.,First Solar Inc.,Technology,Solar,Tempe,AZ,United States
NYQ,PPL,PPL Corporation,PPL Corporation,Utilities,Utilities - Regulated Electric,Allentown,PA,United States
NYQ,STE,STERIS plc,STERIS plc,Healthcare,Medical Devices,Dublin,,Ireland
NYQ,K,Kellanova,Kellanova,Consumer Defensive,Packaged Foods,Chicago,IL,United States
NYQ,MKC,McCormick & Company Incorporat,McCormick & Company Incorporated,Consumer Defensive,Packaged Foods,Hunt Valley,MD,United States
NYQ,TYL,Tyler Technologies Inc.,Tyler Technologies Inc.,Technology,Software - Application,Plano,TX,United States
NMS,HBAN,Huntington Bancshares Incorpora,Huntington Bancshares Incorporated,Financial Services,Banks - Regional,Columbus,OH,United States
NYQ,MOH,Molina Healthcare Inc,Molina Healthcare Inc.,Healthcare,Healthcare Plans,Long Beach,CA,United States
NYQ,AEE,Ameren Corporation,Ameren Corporation,Utilities,Utilities - Regulated Electric,Saint Louis,MO,United States
NMS,WBD,Warner Bros. Discovery Inc.,Warner Bros. Discovery Inc.,Communication Services,Entertainment,New York,NY,United States
NMS,PFG,Principal Financial Group Inc,Principal Financial Group Inc.,Financial Services,Asset Management,Des Moines,IA,United States
NYQ,LDOS,Leidos Holdings Inc.,Leidos Holdings Inc.,Technology,Information Technology Services,Reston,VA,United States
NYQ,HRL,Hormel Foods Corporation,Hormel Foods Corporation,Consumer Defensive,Packaged Foods,Austin,MN,United States
BTS,CBOE,Cboe Global Markets Inc.,Cboe Global Markets Inc.,Financial Services,Financial Data & Stock Exchanges,Chicago,IL,United States
NMS,ULTA,Ulta Beauty Inc.,Ulta Beauty Inc.,Consumer Cyclical,Specialty Retail,Bolingbrook,IL,United States
NYQ,WAT,Waters Corporation,Waters Corporation,Healthcare,Diagnostics & Research,Milford,MA,United States
NYQ,VTR,Ventas Inc.,Ventas Inc.,Real Estate,REIT - Healthcare Facilities,Chicago,IL,United States
NMS,ILMN,Illumina Inc.,Illumina Inc.,Healthcare,Diagnostics & Research,San Diego,CA,United States
NYQ,CCL,Carnival Corporation,Carnival Corporation & plc,Consumer Cyclical,Travel Services,Miami,FL,United States
NMS,STX,Seagate Technology Holdings PLC,Seagate Technology Holdings plc,Technology,Computer Hardware,Dublin,,Ireland
NYQ,CNP,CenterPoint Energy Inc (Holdin,CenterPoint Energy Inc.,Utilities,Utilities - Regulated Electric,Houston,TX,United States
NYQ,BAX,Baxter International Inc.,Baxter International Inc.,Healthcare,Medical Instruments & Supplies,Deerfield,IL,United States
NYQ,J,Jacobs Solutions Inc.,Jacobs Solutions Inc.,Industrials,Engineering & Construction,Dallas,TX,United States
NMS,TER,Teradyne Inc.,Teradyne Inc.,Technology,Semiconductor Equipment & Materials,North Reading,MA,United States
NYQ,SYF,Synchrony Financial,Synchrony Financial,Financial Services,Credit Services,Stamford,CT,United States
NYQ,TDY,Teledyne Technologies Incorpora,Teledyne Technologies Incorporated,Technology,Scientific & Technical Instruments,Thousand Oaks,CA,United States
NYQ,CMS,CMS Energy Corporation,CMS Energy Corporation,Utilities,Utilities - Regulated Electric,Jackson,MI,United States
NMS,CINF,Cincinnati Financial Corporatio,Cincinnati Financial Corporation,Financial Services,Insurance - Property & Casualty,Fairfield,OH,United States
NMS,COO,Cooper Companies Inc.,The Cooper Companies Inc.,Healthcare,Medical Instruments & Supplies,San Ramon,CA,United States
NYQ,OMC,Omnicom Group Inc.,Omnicom Group Inc.,Communication Services,Advertising Agencies,New York,NY,United States
NYQ,DPZ,Domino's Pizza Inc,Domino's Pizza Inc.,Consumer Cyclical,Restaurants,Ann Arbor,MI,United States
NYQ,RF,Regions Financial Corporation,Regions Financial Corporation,Financial Services,Banks - Regional,Birmingham,AL,United States
NYQ,EQT,EQT Corporation,EQT Corporation,Energy,Oil & Gas E&P,Pittsburgh,PA,United States
NYQ,ATO,Atmos Energy Corporation,Atmos Energy Corporation,Utilities,Utilities - Regulated Gas,Dallas,TX,United States
NYQ,AVY,Avery Dennison Corporation,Avery Dennison Corporation,Consumer Cyclical,Packaging & Containers,Mentor,OH,United States
NMS,HOLX,Hologic Inc.,Hologic Inc.,Healthcare,Medical Instruments & Supplies,Marlborough,MA,United States
NYQ,DRI,Darden Restaurants Inc.,Darden Restaurants Inc.,Consumer Cyclical,Restaurants,Orlando,FL,United States
NYQ,CE,Celanese Corporation,Celanese Corporation,Basic Materials,Chemicals,Irving,TX,United States
NMS,UAL,United Airlines Holdings Inc.,United Airlines Holdings Inc.,Industrials,Airlines,Chicago,IL,United States
NMS,NTRS,Northern Trust Corporation,Northern Trust Corporation,Financial Services,Asset Management,Chicago,IL,United States
NYQ,CLX,Clorox Company,The Clorox Company,Consumer Defensive,Household & Personal Products,Oakland,CA,United States
NYQ,L,Loews Corporation,Loews Corporation,Financial Services,Insurance - Property & Casualty,New York,NY,United States
NMS,JBHT,J.B. Hunt Transport Services I,J.B. Hunt Transport Services Inc.,Industrials,Integrated Freight & Logistics,Lowell,AR,United States
NYQ,LH,Laboratory Corporation of Ameri,Laboratory Corporation of America Holdings,Healthcare,Diagnostics & Research,Burlington,NC,United States
NMS,VRSN,VeriSign Inc.,VeriSign Inc.,Technology,Software - Infrastructure,Reston,VA,United States
NYQ,IEX,IDEX Corporation,IDEX Corporation,Industrials,Specialty Industrial Machinery,Northbrook,IL,United States
NYQ,NRG,NRG Energy Inc.,NRG Energy Inc.,Utilities,Utilities - Independent Power Producers,Houston,TX,United States
NYQ,ESS,Essex Property Trust Inc.,Essex Property Trust Inc.,Real Estate,REIT - Residential,San Mateo,CA,United States
NYQ,FDS,FactSet Research Systems Inc.,FactSet Research Systems Inc.,Financial Services,Financial Data & Stock Exchanges,Norwalk,CT,United States
NYQ,TXT,Textron Inc.,Textron Inc.,Industrials,Aerospace & Defense,Providence,RI,United States
NYQ,EG,Everest Group Ltd.,Everest Group Ltd.,Financial Services,Insurance - Reinsurance,Hamilton,,Bermuda
NYQ,LUV,Southwest Airlines Company,Southwest Airlines Co.,Industrials,Airlines,Dallas,TX,United States
NYQ,EXPD,Expeditors International of Was,Expeditors International of Washington Inc.,Industrials,Integrated Freight & Logistics,Seattle,WA,United States
NYQ,CFG,Citizens Financial Group Inc.,Citizens Financial Group Inc.,Financial Services,Banks - Regional,Providence,RI,United States
NMS,ZBRA,Zebra Technologies Corporation,Zebra Technologies Corporation,Technology,Communication Equipment,Lincolnshire,IL,United States
NYQ,BBY,Best Buy Co. Inc.,Best Buy Co. Inc.,Consumer Cyclical,Specialty Retail,Richfield,MN,United States
NYQ,MAA,Mid America Apartment Communiti,Mid America Apartment Communities Inc.,Real Estate,REIT - Residential,Germantown,TN,United States
NYQ,PKG,Packaging Corporation of Americ,Packaging Corporation of America,Consumer Cyclical,Packaging & Containers,Lake Forest,IL,United States
NGM,ENPH,Enphase Energy Inc.,Enphase Energy Inc.,Technology,Solar,Fremont,CA,United States
NMS,AKAM,Akamai Technologies Inc.,Akamai Technologies Inc.,Technology,Software - Infrastructure,Cambridge,MA,United States
NMS,NDSN,Nordson Corporation,Nordson Corporation,Industrials,Specialty Industrial Machinery,Westlake,OH,United States
NYQ,MAS,Masco Corporation,Masco Corporation,Industrials,Building Products & Equipment,Livonia,MI,United States
NYQ,ALB,Albemarle Corporation,Albemarle Corporation,Basic Materials,Specialty Chemicals,Charlotte,NC,United States
NMS,WBA,Walgreens Boots Alliance Inc.,Walgreens Boots Alliance Inc.,Healthcare,Pharmaceutical Retailers,Deerfield,IL,United States
NMS,EXPE,Expedia Group Inc.,Expedia Group Inc.,Consumer Cyclical,Travel Services,Seattle,WA,United States
NYQ,DGX,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Healthcare,Diagnostics & Research,Secaucus,NJ,United States
NYQ,MRO,Marathon Oil Corporation,Marathon Oil Corporation,Energy,Oil & Gas E&P,Houston,TX,United States
NMS,SWKS,Skyworks Solutions Inc.,Skyworks Solutions Inc.,Technology,Semiconductors,Irvine,CA,United States
NMS,FOXA,Fox Corporation,Fox Corporation,Communication Services,Entertainment,New York,NY,United States
NMS,FOX,Fox Corporation,Fox Corporation,Communication Services,Entertainment,New York,NY,United States
NYQ,CAG,ConAgra Brands Inc.,Conagra Brands Inc.,Consumer Defensive,Packaged Foods,Chicago,IL,United States
NYQ,AMCR,Amcor plc,Amcor plc,Consumer Cyclical,Packaging & Containers,Zurich,,Switzerland
NYQ,BG,Bunge Limited,Bunge Global SA,Consumer Defensive,Farm Products,Chesterfield,MO,United States
NYQ,SNA,Snap On Incorporated,Snap on Incorporated,Industrials,Tools & Accessories,Kenosha,WI,United States
NYQ,UDR,UDR Inc.,UDR Inc.,Real Estate,REIT - Residential,Highlands Ranch,CO,United States
NYQ,JBL,Jabil Inc.,Jabil Inc.,Technology,Electronic Components,Saint Petersburg,FL,United States
NYQ,EPAM,EPAM Systems Inc.,EPAM Systems Inc.,Technology,Information Technology Services,Newtown,PA,United States
NYQ,KEY,KeyCorp,KeyCorp,Financial Services,Banks - Regional,Cleveland,OH,United States
NMS,POOL,Pool Corporation,Pool Corporation,Industrials,Industrial Distribution,Covington,LA,United States
NMS,VTRS,Viatris Inc.,Viatris Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canonsburg,PA,United States
NMS,NWS,News Corporation,News Corporation,Communication Services,Entertainment,New York,NY,United States
NMS,NWSA,News Corporation,News Corporation,Communication Services,Entertainment,New York,NY,United States
NMS,TRMB,Trimble Inc.,Trimble Inc.,Technology,Scientific & Technical Instruments,Westminster,CO,United States
NYQ,CF,CF Industries Holdings Inc.,CF Industries Holdings Inc.,Basic Materials,Agricultural Inputs,Northbrook,IL,United States
NYQ,PNR,Pentair plc.,Pentair plc,Industrials,Specialty Industrial Machinery,London,,United Kingdom
NYQ,AES,AES Corporation,The AES Corporation,Utilities,Utilities - Diversified,Arlington,VA,United States
NYQ,SWK,Stanley Black & Decker Inc.,Stanley Black & Decker Inc.,Industrials,Tools & Accessories,New Britain,CT,United States
NYQ,CPB,Campbell Soup Company,Campbell Soup Company,Consumer Defensive,Packaged Foods,Camden,NJ,United States
NYQ,DOC,Healthpeak Properties Inc.,Healthpeak Properties Inc.,Real Estate,REIT - Healthcare Facilities,Denver,CO,United States
NMS,HST,Host Hotels & Resorts Inc.,Host Hotels & Resorts Inc.,Real Estate,REIT - Hotel & Motel,Bethesda,MD,United States
NYQ,WRK,Westrock Company,WestRock Company,Consumer Cyclical,Packaging & Containers,Atlanta,GA,United States
NMS,LNT,Alliant Energy Corporation,Alliant Energy Corporation,Utilities,Utilities - Regulated Electric,Madison,WI,United States
NYQ,NI,NiSource Inc,NiSource Inc.,Utilities,Utilities - Regulated Gas,Merrillville,IN,United States
NYQ,KIM,Kimco Realty Corporation,Kimco Realty Corporation,Real Estate,REIT - Retail,Jericho,NY,United States
NYQ,MGM,MGM Resorts International,MGM Resorts International,Consumer Cyclical,Resorts & Casinos,Las Vegas,NV,United States
NYQ,IP,International Paper Company,International Paper Company,Consumer Cyclical,Packaging & Containers,Memphis,TN,United States
NYQ,RVTY,Revvity Inc.,Revvity Inc.,Healthcare,Diagnostics & Research,Waltham,MA,United States
NMS,GEN,Gen Digital Inc.,Gen Digital Inc.,Technology,Software - Infrastructure,Tempe,AZ,United States
NMS,EVRG,Evergy Inc.,Evergy Inc.,Utilities,Utilities - Regulated Electric,Kansas City,MO,United States
NYQ,AOS,A.O. Smith Corporation,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery,Milwaukee,WI,United States
NMS,PODD,Insulet Corporation,Insulet Corporation,Healthcare,Medical Devices,Acton,MA,United States
NYQ,BEN,Franklin Resources Inc.,Franklin Resources Inc.,Financial Services,Asset Management,San Mateo,CA,United States
NYQ,TAP,Molson Coors Beverage Company,Molson Coors Beverage Company,Consumer Defensive,Beverages - Brewers,Golden,CO,United States
NYQ,LW,Lamb Weston Holdings Inc.,Lamb Weston Holdings Inc.,Consumer Defensive,Packaged Foods,Eagle,ID,United States
NMS,TECH,Bio Techne Corp,Bio Techne Corporation,Healthcare,Biotechnology,Minneapolis,MN,United States
NMS,INCY,Incyte Corporation,Incyte Corporation,Healthcare,Biotechnology,Wilmington,DE,United States
NYQ,CRL,Charles River Laboratories Inte,Charles River Laboratories International Inc.,Healthcare,Diagnostics & Research,Wilmington,MA,United States
NMS,JKHY,Jack Henry & Associates Inc.,Jack Henry & Associates Inc.,Technology,Information Technology Services,Monett,MO,United States
NYQ,SJM,J.M. Smucker Company,The J. M. Smucker Company,Consumer Defensive,Packaged Foods,Orrville,OH,United States
NYQ,DVA,DaVita Inc.,DaVita Inc.,Healthcare,Medical Care Facilities,Denver,CO,United States
NMS,LKQ,LKQ Corporation,LKQ Corporation,Consumer Cyclical,Auto Parts,Chicago,IL,United States
NYQ,IPG,Interpublic Group of Companies,The Interpublic Group of Companies Inc.,Communication Services,Advertising Agencies,New York,NY,United States
NYQ,EMN,Eastman Chemical Company,Eastman Chemical Company,Basic Materials,Specialty Chemicals,Kingsport,TN,United States
NYQ,CPT,Camden Property Trust,Camden Property Trust,Real Estate,REIT - Residential,Houston,TX,United States
NYQ,JNPR,Juniper Networks Inc.,Juniper Networks Inc.,Technology,Communication Equipment,Sunnyvale,CA,United States
NYQ,UHS,Universal Health Services Inc.,Universal Health Services Inc.,Healthcare,Medical Care Facilities,King of Prussia,PA,United States
NYQ,SOLV,Solventum Corporation,Solventum Corporation,Healthcare,Health Information Services,Saint Paul,MN,United States
NMS,APA,APA Corporation,APA Corporation,Energy,Oil & Gas E&P,Houston,TX,United States
NMS,WYNN,Wynn Resorts Limited,Wynn Resorts Limited,Consumer Cyclical,Resorts & Casinos,Las Vegas,NV,United States
NMS,REG,Regency Centers Corporation,Regency Centers Corporation,Real Estate,REIT - Retail,Jacksonville,FL,United States
NYQ,KMX,CarMax Inc,CarMax Inc.,Consumer Cyclical,Auto & Truck Dealerships,Richmond,VA,United States
NYQ,ALLE,Allegion plc,Allegion plc,Industrials,Security & Protection Services,Dublin,,Ireland
NYQ,BBWI,Bath & Body Works Inc.,Bath & Body Works Inc.,Consumer Cyclical,Specialty Retail,Columbus,OH,United States
NYQ,RL,Ralph Lauren Corporation,Ralph Lauren Corporation,Consumer Cyclical,Apparel Manufacturing,New York,NY,United States
NYQ,CTLT,Catalent Inc.,Catalent Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Somerset,NJ,United States
NYQ,PAYC,Paycom Software Inc.,Paycom Software Inc.,Technology,Software - Application,Oklahoma City,OK,United States
NMS,FFIV,F5 Inc.,F5 Inc.,Technology,Software - Infrastructure,Seattle,WA,United States
NYQ,HII,Huntington Ingalls Industries,Huntington Ingalls Industries Inc.,Industrials,Aerospace & Defense,Newport News,VA,United States
NYQ,BXP,Boston Properties Inc.,Boston Properties Inc.,Real Estate,REIT - Office,Boston,MA,United States
NMS,AAL,American Airlines Group Inc.,American Airlines Group Inc.,Industrials,Airlines,Fort Worth,TX,United States
NYQ,TFX,Teleflex Incorporated,Teleflex Incorporated,Healthcare,Medical Instruments & Supplies,Wayne,PA,United States
NMS,CHRW,C.H. Robinson Worldwide Inc.,C.H. Robinson Worldwide Inc.,Industrials,Integrated Freight & Logistics,Eden Prairie,MN,United States
NYQ,AIZ,Assurant Inc.,Assurant Inc.,Financial Services,Insurance - Specialty,Atlanta,GA,United States
NYQ,MOS,Mosaic Company,The Mosaic Company,Basic Materials,Agricultural Inputs,Tampa,FL,United States
NMS,QRVO,Qorvo Inc.,Qorvo Inc.,Technology,Semiconductors,Greensboro,NC,United States
NYQ,DAY,Dayforce Inc.,Dayforce Inc,Technology,Software - Application,Minneapolis,MN,United States
NYQ,TPR,Tapestry Inc.,Tapestry Inc.,Consumer Cyclical,Luxury Goods,New York,NY,United States
NMS,PARA,Paramount Global,Paramount Global,Communication Services,Entertainment,New York,NY,United States
NMS,HSIC,Henry Schein Inc.,Henry Schein Inc.,Healthcare,Medical Distribution,Melville,NY,United States
NYQ,PNW,Pinnacle West Capital Corporati,Pinnacle West Capital Corporation,Utilities,Utilities - Regulated Electric,Phoenix,AZ,United States
NMS,MTCH,Match Group Inc.,Match Group Inc.,Communication Services,Internet Content & Information,Dallas,TX,United States
NMS,HAS,Hasbro Inc.,Hasbro Inc.,Consumer Cyclical,Leisure,Pawtucket,RI,United States
NYQ,FRT,Federal Realty Investment Trust,Federal Realty Investment Trust,Real Estate,REIT - Retail,North Bethesda,MD,United States
NYQ,BWA,BorgWarner Inc.,BorgWarner Inc.,Consumer Cyclical,Auto Parts,Auburn Hills,MI,United States
NYQ,GNRC,Generac Holdlings Inc.,Generac Holdings Inc.,Industrials,Specialty Industrial Machinery,Waukesha,WI,United States
NYQ,BIO,Bio Rad Laboratories Inc.,Bio Rad Laboratories Inc.,Healthcare,Medical Devices,Hercules,CA,United States
NMS,CZR,Caesars Entertainment Inc.,Caesars Entertainment Inc.,Consumer Cyclical,Resorts & Casinos,Reno,NV,United States
NMS,MKTX,MarketAxess Holdings Inc.,MarketAxess Holdings Inc.,Financial Services,Capital Markets,New York,NY,United States
NYQ,FMC,FMC Corporation,FMC Corporation,Basic Materials,Agricultural Inputs,Philadelphia,PA,United States
NYQ,GL,Globe Life Inc.,Globe Life Inc.,Financial Services,Insurance - Life,McKinney,TX,United States
NYQ,MHK,Mohawk Industries Inc.,Mohawk Industries Inc.,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Calhoun,GA,United States
NYQ,RHI,Robert Half Inc.,Robert Half Inc.,Industrials,Staffing & Employment Services,Menlo Park,CA,United States
NMS,ETSY,Etsy Inc.,Etsy Inc.,Consumer Cyclical,Internet Retail,Brooklyn,NY,United States
NYQ,CMA,Comerica Incorporated,Comerica Incorporated,Financial Services,Banks - Regional,Dallas,TX,United States
NYQ,NCLH,Norwegian Cruise Line Holdings,Norwegian Cruise Line Holdings Ltd.,Consumer Cyclical,Travel Services,Miami,FL,United States
NYQ,IVZ,Invesco Ltd,Invesco Ltd.,Financial Services,Asset Management,Atlanta,GA,United States
